customer_id,recency_status,monetary_status,frequency_status
12346,Churned,High Value,One-Time
12347,Recent,Average Value,Frequent
12348,Needs Attention,Average Value,Occasional
12349,Recent,Average Value,One-Time
12350,Churned,Very Low Value,One-Time
12352,Needs Attention,Average Value,Frequent
12353,Churned,Very Low Value,One-Time
12354,Churned,Average Value,One-Time
12355,Churned,Low Value,One-Time
12356,Recent,Average Value,Few
12357,Needs Attention,High Value,One-Time
12358,Recent,Low Value,Few
12359,Needs Attention,High Value,Occasional
12360,Needs Attention,Average Value,Few
12361,Churned,Very Low Value,One-Time
12362,Recent,Average Value,Frequent
12363,At Risk,Low Value,Few
12364,Recent,Average Value,Occasional
12365,Churned,Low Value,One-Time
12367,Recent,Very Low Value,One-Time
12370,Needs Attention,Average Value,Occasional
12371,Needs Attention,Average Value,One-Time
12372,Needs Attention,Average Value,Few
12373,Churned,Low Value,One-Time
12374,Recent,Low Value,One-Time
12375,Recent,Low Value,Few
12377,Churned,Average Value,Few
12378,At Risk,Average Value,One-Time
12379,Needs Attention,Low Value,Few
12380,Recent,Average Value,Occasional
12381,Recent,Average Value,Few
12383,Churned,Average Value,Occasional
12384,Recent,Low Value,Few
12386,Churned,Low Value,Few
12388,Recent,Average Value,Frequent
12390,Needs Attention,Low Value,One-Time
12391,Recent,Low Value,One-Time
12393,Needs Attention,Average Value,Occasional
12394,Needs Attention,Average Value,Few
12395,Recent,Average Value,Frequent
12397,Needs Attention,Average Value,Few
12398,Needs Attention,Average Value,One-Time
12399,At Risk,Average Value,Occasional
12401,Churned,Very Low Value,One-Time
12402,Churned,Very Low Value,One-Time
12403,Needs Attention,Low Value,One-Time
12405,At Risk,Average Value,One-Time
12406,Recent,Average Value,Few
12407,Needs Attention,Average Value,Occasional
12408,Needs Attention,Average Value,Occasional
12409,Needs Attention,High Value,Few
12410,Churned,Low Value,Few
12412,Needs Attention,Average Value,Few
12413,Needs Attention,Low Value,Few
12414,Churned,Low Value,Few
12415,Recent,High Value,Frequent
12417,Recent,Average Value,Frequent
12418,At Risk,Low Value,One-Time
12420,Needs Attention,Low Value,One-Time
12421,Recent,Low Value,Occasional
12422,At Risk,Low Value,Few
12423,Recent,Average Value,Frequent
12424,At Risk,Average Value,Few
12425,Needs Attention,Low Value,One-Time
12426,Churned,Low Value,One-Time
12427,Recent,Low Value,Few
12428,Recent,High Value,Frequent
12429,Recent,Average Value,Occasional
12430,Needs Attention,Very Low Value,One-Time
12431,Needs Attention,High Value,Frequent
12432,Needs Attention,Average Value,Occasional
12433,Recent,High Value,Frequent
12434,Needs Attention,Low Value,Few
12435,Needs Attention,High Value,Few
12436,At Risk,Low Value,One-Time
12437,Recent,Average Value,Frequent
12438,Recent,Average Value,Few
12441,Churned,Very Low Value,One-Time
12442,Recent,Very Low Value,One-Time
12444,Recent,Average Value,Occasional
12445,Recent,Very Low Value,One-Time
12446,Needs Attention,Average Value,One-Time
12447,Churned,Low Value,One-Time
12448,Needs Attention,Low Value,One-Time
12449,Recent,Average Value,Occasional
12450,At Risk,Very Low Value,Few
12451,Recent,High Value,Occasional
12452,Recent,Low Value,One-Time
12453,At Risk,Low Value,One-Time
12454,Needs Attention,Average Value,One-Time
12455,Needs Attention,Average Value,Occasional
12456,Needs Attention,Average Value,Few
12457,Needs Attention,Average Value,Frequent
12458,Needs Attention,Low Value,Few
12461,At Risk,Low Value,One-Time
12462,Recent,Low Value,Few
12463,Needs Attention,Average Value,Occasional
12464,Recent,Low Value,Frequent
12465,Recent,Low Value,Few
12468,Churned,Low Value,Few
12471,Recent,High Value,Frequent
12472,Needs Attention,High Value,Frequent
12473,Needs Attention,Average Value,Few
